permutation,PD_code,Jones_polynomial,Jones_polynomial_span,Alexander_polynomial,Alexander_polynomial_span,Signature,Determinant,coefficients,min_degree,max_degree
"[0.0978725, -0.41183, -1.03413, 0.221038, 0.396475, -0.256145, -0.208001, -0.730819, -1.24731, -1.57492, -0.0782621, -1.29751, -0.26717, -1.24044, -0.406524, 0.497907, -1.4147, 0.189364, 1.7897, 0.8642, 1.21609, 0.368027, 0.48038, -1.60525, -0.546356, -0.710361, -0.599683]","[[17, 5, 18, 4], [32, 5, 33, 6], [43, 2, 44, 3], [50, 3, 51, 4], [64, 2, 65, 1], [6, 16, 7, 15], [9, 38, 10, 39], [8, 45, 9, 46], [7, 52, 8, 53], [27, 11, 28, 10], [30, 13, 31, 14], [41, 12, 42, 13], [47, 14, 48, 15], [56, 11, 57, 12], [16, 33, 17, 34], [25, 22, 26, 23], [42, 20, 43, 19], [49, 19, 50, 18], [58, 22, 59, 21], [65, 20, 66, 21], [23, 73, 24, 72], [39, 28, 40, 29], [67, 27, 68, 26], [71, 25, 72, 24], [48, 31, 49, 32], [54, 29, 55, 30], [34, 51, 35, 52], [44, 36, 45, 35], [63, 36, 64, 37], [37, 62, 38, 63], [55, 40, 56, 41], [53, 46, 54, 47], [66, 57, 67, 58], [69, 60, 70, 61], [74, 60, 1, 59], [61, 68, 62, 69], [73, 70, 74, 71]]","[[-19, -2], [-18, 9], [-17, -20], [-16, 30], [-15, -33], [-14, 24], [-13, -6], [-12, -17], [-11, 40], [-10, -55], [-9, 58], [-8, -49], [-7, 32], [-6, -15], [-5, 4], [-4, 1], [-3, -1], [-2, 1]]",17,"[[-6, -1], [-5, 2], [-4, -2], [-3, 8], [-2, -18], [-1, 26], [0, -29], [1, 26], [2, -18], [3, 8], [4, -2], [5, 2], [6, -1]]",12,-6,143,"[-2, 9, -20, 30, -33, 24, -6, -17, 40, -55, 58, -49, 32, -15, 4, 1, -1, 1]",-19,-2
"[0.878596, 0.93997, -0.512045, -1.22856, 0.723791, -0.200708, 1.82279, 0.794714, 0.670877, -0.625438, -1.38334, 0.65407, 0.0028601, 0.159952, -1.19908, 0.173048, -1.19547, -0.606198, 1.33827, -0.832264, 1.13562, 0.46944, -1.00984, 0.565823, 0.77285]","[[41, 2, 42, 3], [54, 5, 55, 6], [78, 3, 79, 4], [88, 2, 89, 1], [101, 5, 102, 4], [8, 21, 9, 22], [7, 56, 8, 57], [6, 71, 7, 72], [14, 28, 15, 27], [10, 33, 11, 34], [12, 47, 13, 48], [13, 63, 14, 62], [15, 86, 16, 87], [9, 99, 10, 98], [11, 115, 12, 114], [43, 18, 44, 19], [66, 18, 67, 17], [80, 19, 81, 20], [99, 21, 100, 20], [119, 17, 120, 16], [23, 34, 24, 35], [25, 48, 26, 49], [26, 62, 27, 61], [28, 85, 29, 86], [22, 98, 23, 97], [24, 114, 25, 113], [44, 31, 45, 32], [65, 31, 66, 30], [118, 30, 119, 29], [37, 50, 38, 51], [35, 59, 36, 58], [32, 82, 33, 81], [38, 105, 39, 106], [36, 112, 37, 111], [67, 43, 68, 42], [89, 41, 90, 40], [104, 39, 105, 40], [116, 45, 117, 46], [49, 61, 50, 60], [46, 84, 47, 83], [51, 106, 52, 107], [70, 56, 71, 55], [75, 52, 76, 53], [92, 54, 93, 53], [63, 84, 64, 85], [57, 97, 58, 96], [59, 113, 60, 112], [79, 68, 80, 69], [100, 70, 101, 69], [117, 65, 118, 64], [73, 95, 74, 94], [72, 110, 73, 109], [107, 75, 108, 74], [90, 78, 91, 77], [103, 76, 104, 77], [82, 116, 83, 115], [102, 92, 103, 91], [108, 93, 109, 94], [120, 88, 1, 87], [95, 110, 96, 111]]","[[-6, -1], [-5, 2], [-4, 3], [-3, -8], [-2, -14], [-1, 72], [0, -107], [1, 46], [2, 99], [3, -225], [4, 246], [5, -170], [6, 61], [7, 38], [8, -117], [9, 158], [10, -121], [11, 4], [12, 120], [13, -154], [14, 84], [15, 7], [16, -42], [17, 25], [18, -4], [19, -1]]",25,"[[-8, -1], [-7, 4], [-6, -10], [-5, 14], [-4, 3], [-3, -47], [-2, 83], [-1, -74], [0, 57], [1, -74], [2, 83], [3, -47], [4, 3], [5, 14], [6, -10], [7, 4], [8, -1]]",16,4,413,"[-1, 2, 3, -8, -14, 72, -107, 46, 99, -225, 246, -170, 61, 38, -117, 158, -121, 4, 120, -154, 84, 7, -42, 25, -4, -1]",-6,19
"[-1.92826, 0.513029, 1.92264, 1.18071, 1.61924, 1.53692, -0.755297, 0.0759721, 0.140856, 0.0798329, -0.650203, -0.856433, -0.573106, -1.68043, -0.0839703, 0.171051, 0.456985, 0.428664, -0.937284, -1.41366, -0.337653, -0.0408414, -0.691585, 0.212049, -0.248738, -0.981426, -0.600055, 0.596202, -1.46276, -0.829916, 0.902356]","[[4, 24, 5, 23], [2, 34, 3, 33], [1, 40, 2, 41], [3, 49, 4, 48], [5, 79, 6, 78], [19, 7, 20, 6], [28, 8, 29, 7], [38, 12, 39, 11], [62, 10, 63, 9], [71, 9, 72, 8], [83, 11, 84, 10], [16, 26, 17, 25], [14, 36, 15, 35], [15, 51, 16, 50], [13, 54, 14, 55], [12, 66, 13, 65], [17, 81, 18, 80], [59, 18, 60, 19], [87, 21, 88, 20], [24, 57, 25, 58], [21, 76, 22, 77], [22, 90, 23, 89], [60, 27, 61, 28], [72, 30, 73, 29], [81, 26, 82, 27], [31, 42, 32, 43], [34, 55, 35, 56], [36, 67, 37, 68], [30, 85, 31, 86], [32, 92, 33, 91], [52, 37, 53, 38], [39, 65, 40, 64], [43, 47, 44, 46], [44, 76, 45, 75], [41, 92, 42, 1], [74, 46, 75, 45], [49, 56, 50, 57], [47, 91, 48, 90], [68, 52, 69, 51], [53, 67, 54, 66], [58, 80, 59, 79], [70, 62, 71, 61], [84, 64, 85, 63], [82, 69, 83, 70], [86, 74, 87, 73], [77, 89, 78, 88]]","[[3, 12], [4, -58], [5, 133], [6, -152], [7, -27], [8, 512], [9, -1277], [10, 2156], [11, -2915], [12, 3353], [13, -3352], [14, 2911], [15, -2162], [16, 1330], [17, -645], [18, 227], [19, -49], [20, 4]]",17,"[[-8, -5], [-7, 19], [-6, -3], [-5, -165], [-4, 656], [-3, -1530], [-2, 2594], [-1, -3465], [0, 3799], [1, -3465], [2, 2594], [3, -1530], [4, 656], [5, -165], [6, -3], [7, 19], [8, -5]]",16,8,20565,"[12, -58, 133, -152, -27, 512, -1277, 2156, -2915, 3353, -3352, 2911, -2162, 1330, -645, 227, -49, 4]",3,20
"[-0.958168, -1.7389, -0.427084, 0.841969, 0.347989, -0.0633437, 0.3513, 0.182118, 0.255779, -1.04142, -0.513108, 0.860782, -0.389648, 0.479146, -0.513832, 0.478769, 0.70964, -0.155314, 1.20953, 2.31367, -0.908043, 0.680687, -0.944777, 0.877219, 0.0958075]","[[42, 3, 43, 4], [61, 2, 62, 3], [74, 1, 75, 2], [5, 17, 6, 16], [6, 47, 7, 48], [7, 66, 8, 67], [4, 86, 5, 85], [13, 11, 14, 10], [38, 9, 39, 10], [69, 8, 70, 9], [11, 82, 12, 83], [81, 12, 82, 13], [17, 26, 18, 27], [15, 34, 16, 35], [18, 45, 19, 46], [14, 56, 15, 55], [19, 64, 20, 65], [20, 77, 21, 78], [43, 24, 44, 25], [62, 23, 63, 24], [75, 22, 76, 23], [90, 22, 1, 21], [27, 46, 28, 47], [28, 65, 29, 66], [25, 87, 26, 86], [41, 32, 42, 33], [59, 30, 60, 31], [72, 31, 73, 32], [78, 30, 79, 29], [35, 48, 36, 49], [36, 53, 37, 54], [33, 85, 34, 84], [50, 37, 51, 38], [57, 40, 58, 41], [80, 40, 81, 39], [49, 54, 50, 55], [44, 88, 45, 87], [68, 52, 69, 51], [52, 68, 53, 67], [56, 83, 57, 84], [71, 59, 72, 58], [73, 60, 74, 61], [63, 89, 64, 88], [79, 71, 80, 70], [76, 90, 77, 89]]","[[-20, 2], [-19, -3], [-18, -3], [-17, 23], [-16, -60], [-15, 99], [-14, -121], [-13, 114], [-12, -78], [-11, 23], [-10, 35], [-9, -80], [-8, 99], [-7, -89], [-6, 58], [-5, -23], [-4, 2], [-3, 5], [-2, -3], [-1, 1]]",19,"[[-8, -1], [-7, 5], [-6, -4], [-5, -23], [-4, 66], [-3, -67], [-2, -8], [-1, 120], [0, -175], [1, 120], [2, -8], [3, -67], [4, 66], [5, -23], [6, -4], [7, 5], [8, -1]]",16,-6,139,"[2, -3, -3, 23, -60, 99, -121, 114, -78, 23, 35, -80, 99, -89, 58, -23, 2, 5, -3, 1]",-20,-1
"[-0.073861, -1.43752, -1.63484, -1.66787, -0.499194, -0.642461, -0.393738, -1.52829, 1.35683, -1.4569, 0.825924, 0.253632, 0.0510852, -0.340336, -0.0202367, 0.306183, -0.447472, 0.244765, -1.11881, -0.380175, 0.903229, 0.189183, 1.82142]","[[36, 1, 37, 2], [25, 2, 26, 3], [5, 9, 6, 8], [3, 26, 4, 27], [4, 37, 5, 38], [51, 7, 52, 6], [7, 53, 8, 52], [42, 10, 43, 9], [49, 11, 50, 10], [11, 21, 12, 20], [32, 13, 33, 14], [47, 12, 48, 13], [14, 17, 15, 18], [15, 55, 16, 54], [55, 17, 56, 16], [18, 29, 19, 30], [19, 44, 20, 45], [34, 23, 35, 24], [41, 22, 42, 23], [48, 21, 49, 22], [57, 24, 58, 25], [27, 38, 28, 39], [30, 45, 31, 46], [28, 53, 29, 54], [40, 33, 41, 34], [46, 31, 47, 32], [58, 35, 1, 36], [50, 44, 51, 43], [56, 40, 57, 39]]","[[-14, -1], [-13, 5], [-12, -17], [-11, 37], [-10, -65], [-9, 92], [-8, -110], [-7, 116], [-6, -105], [-5, 84], [-4, -56], [-3, 29], [-2, -9], [0, 2], [1, -1]]",15,"[[-5, 7], [-4, -32], [-3, 69], [-2, -94], [-1, 105], [0, -109], [1, 105], [2, -94], [3, 69], [4, -32], [5, 7]]",10,-6,723,"[-1, 5, -17, 37, -65, 92, -110, 116, -105, 84, -56, 29, -9, 2, -1]",-14,1
"[0.920426, -0.48944, 0.777388, 0.798371, 0.216671, -1.84756, 0.188398, 1.03534, -0.882356, -0.516809, 1.17088, 0.228002, 0.293249, -0.634673, 0.683786, 0.108074, -1.62351, 0.77273, -1.32747, -1.4836, -0.631285, 0.935703, 0.712932, 0.809934, 0.363357]","[[15, 2, 16, 3], [21, 5, 22, 4], [38, 4, 39, 3], [66, 1, 67, 2], [88, 5, 89, 6], [11, 26, 12, 27], [6, 32, 7, 31], [7, 47, 8, 46], [8, 55, 9, 56], [10, 73, 11, 74], [9, 92, 10, 93], [25, 12, 26, 13], [51, 16, 52, 17], [64, 13, 65, 14], [68, 18, 69, 17], [99, 14, 100, 15], [18, 35, 19, 36], [19, 71, 20, 70], [40, 23, 41, 24], [49, 21, 50, 20], [63, 25, 64, 24], [97, 23, 98, 22], [29, 44, 30, 45], [28, 58, 29, 57], [27, 75, 28, 74], [32, 48, 33, 47], [34, 71, 35, 72], [33, 90, 34, 91], [30, 96, 31, 95], [50, 38, 51, 37], [69, 36, 70, 37], [81, 42, 82, 43], [86, 41, 87, 42], [98, 40, 99, 39], [43, 82, 44, 83], [45, 95, 46, 94], [67, 53, 68, 52], [89, 49, 90, 48], [53, 73, 54, 72], [59, 79, 60, 78], [58, 84, 59, 83], [54, 92, 55, 91], [56, 93, 57, 94], [77, 61, 78, 60], [80, 62, 81, 61], [85, 63, 86, 62], [100, 65, 1, 66], [79, 76, 80, 77], [84, 75, 85, 76], [96, 87, 97, 88]]","[[-10, -2], [-9, 6], [-8, -6], [-7, -9], [-6, 53], [-5, -125], [-4, 202], [-3, -249], [-2, 238], [-1, -162], [0, 43], [1, 86], [2, -190], [3, 239], [4, -225], [5, 164], [6, -88], [7, 31], [8, -3], [9, -3], [10, 1]]",20,"[[-6, -1], [-5, 14], [-4, -52], [-3, 81], [-2, -27], [-1, -106], [0, 183], [1, -106], [2, -27], [3, 81], [4, -52], [5, 14], [6, -1]]",12,0,45,"[-2, 6, -6, -9, 53, -125, 202, -249, 238, -162, 43, 86, -190, 239, -225, 164, -88, 31, -3, -3, 1]",-10,10
"[-2.44995, -1.06173, -0.951792, -0.484469, -0.449108, -1.03537, -0.806631, 0.0601102, 0.0146341, -1.11186, -0.807979, 2.3304, 2.3513, -1.13096, -0.257357, 2.05737, 1.85815, -1.31335, -0.248274, -0.971592, 1.34708, -1.62603, -0.558183, 1.63575, -0.607622]","[[17, 4, 18, 5], [24, 3, 25, 4], [33, 2, 34, 3], [54, 1, 55, 2], [5, 11, 6, 10], [6, 44, 7, 43], [68, 8, 69, 7], [41, 9, 42, 8], [70, 9, 71, 10], [11, 18, 12, 19], [12, 46, 13, 45], [39, 15, 40, 14], [66, 14, 67, 13], [22, 15, 23, 16], [71, 16, 72, 17], [19, 45, 20, 44], [40, 22, 41, 21], [67, 21, 68, 20], [72, 23, 73, 24], [26, 48, 27, 47], [25, 56, 26, 57], [27, 64, 28, 65], [37, 29, 38, 28], [50, 30, 51, 29], [61, 30, 62, 31], [52, 31, 53, 32], [73, 32, 74, 33], [35, 49, 36, 48], [34, 55, 35, 56], [36, 63, 37, 64], [59, 38, 60, 39], [69, 42, 70, 43], [46, 57, 47, 58], [49, 62, 50, 63], [60, 51, 61, 52], [74, 53, 1, 54], [58, 65, 59, 66]]","[[-13, -2], [-12, 5], [-11, -7], [-10, 8], [-9, -5], [-7, 4], [-6, -8], [-5, 10], [-4, -9], [-3, 6], [-2, -1], [-1, -2], [0, 3], [1, -2], [2, 1]]",15,"[[-7, -1], [-6, 2], [-5, -1], [-4, -2], [-3, 6], [-2, -4], [-1, -3], [0, 7], [1, -3], [2, -4], [3, 6], [4, -2], [5, -1], [6, 2], [7, -1]]",14,-6,3,"[-2, 5, -7, 8, -5, 4, -8, 10, -9, 6, -1, -2, 3, -2, 1]",-13,2
"[0.492777, 0.487865, -1.96756, -1.18761, -1.59635, 1.71372, 0.241553, 1.8614, -1.2585, 0.473507, 1.37106, -0.0994975, -0.884478, 0.942676, -1.37254, 0.983541, -1.62409, -0.364312, -0.630695, -0.246589, -1.86876]","[[6, 2, 7, 1], [20, 4, 21, 3], [41, 3, 42, 2], [4, 20, 5, 19], [5, 41, 6, 40], [15, 9, 16, 8], [48, 7, 49, 8], [10, 37, 11, 38], [9, 46, 10, 47], [24, 11, 25, 12], [27, 15, 28, 14], [35, 12, 36, 13], [44, 13, 45, 14], [17, 38, 18, 39], [16, 47, 17, 48], [18, 53, 19, 54], [30, 23, 31, 24], [33, 23, 34, 22], [50, 21, 51, 22], [25, 37, 26, 36], [26, 46, 27, 45], [34, 30, 35, 29], [43, 29, 44, 28], [31, 52, 32, 53], [51, 32, 52, 33], [39, 54, 40, 1], [49, 42, 50, 43]]","[[-4, -1], [-3, 1], [-1, 1]]",3,"[[-1, 1], [0, -1], [1, 1]]",2,-2,3,"[-1, 1, 1]",-4,-1
"[-1.2859, -0.667347, 0.641089, 1.44568, -1.10652, -0.526023, -0.291634, 1.7343, 0.765219, 0.488899, 0.933139, -0.79369, 0.870048, -0.688286, -2.34307, -0.757077, -0.714327, -0.686055, 0.988573, 1.52482, -0.119147, -0.486267, 0.22501]","[[24, 1, 25, 2], [39, 2, 40, 3], [62, 4, 63, 3], [73, 5, 74, 4], [10, 13, 11, 14], [5, 28, 6, 29], [11, 35, 12, 34], [6, 43, 7, 44], [9, 49, 10, 48], [8, 60, 9, 59], [7, 71, 8, 70], [35, 13, 36, 12], [16, 20, 17, 19], [14, 57, 15, 58], [15, 68, 16, 69], [44, 18, 45, 17], [18, 46, 19, 45], [29, 20, 30, 21], [37, 23, 38, 22], [64, 21, 65, 22], [76, 23, 1, 24], [25, 41, 26, 40], [26, 61, 27, 62], [27, 72, 28, 73], [53, 31, 54, 30], [31, 53, 32, 52], [33, 57, 34, 56], [32, 68, 33, 67], [49, 37, 50, 36], [75, 38, 76, 39], [41, 60, 42, 61], [42, 71, 43, 72], [47, 59, 48, 58], [46, 70, 47, 69], [55, 51, 56, 50], [66, 52, 67, 51], [65, 54, 66, 55], [74, 64, 75, 63]]","[[-4, -1], [-3, 5], [-2, -11], [-1, 16], [0, -15], [1, 6], [2, 9], [3, -25], [4, 39], [5, -44], [6, 42], [7, -32], [8, 17], [9, -5], [10, -2], [11, 3], [12, -1]]",16,"[[-5, -1], [-4, 5], [-3, -12], [-2, 20], [-1, -25], [0, 27], [1, -25], [2, 20], [3, -12], [4, 5], [5, -1]]",10,4,153,"[-1, 5, -11, 16, -15, 6, 9, -25, 39, -44, 42, -32, 17, -5, -2, 3, -1]",-4,12
"[-0.161605, 0.3047, 2.60963, -1.62887, 0.0799743, -0.642208, -0.125498, -0.359692, 2.27953, 0.654637, -0.87238, -0.0424827, -0.481177, -0.335616, 0.0391733, -1.66978, -2.46948, 1.88224, -2.6123, 1.44556, -0.469465]","[[15, 3, 16, 2], [34, 2, 35, 1], [4, 21, 5, 22], [3, 39, 4, 38], [6, 44, 7, 43], [7, 49, 8, 48], [5, 54, 6, 55], [29, 9, 30, 8], [50, 10, 51, 9], [13, 21, 14, 20], [10, 28, 11, 27], [11, 44, 12, 45], [12, 54, 13, 53], [36, 17, 37, 18], [39, 15, 40, 14], [57, 17, 58, 16], [32, 20, 33, 19], [41, 18, 42, 19], [23, 43, 24, 42], [22, 55, 23, 56], [30, 26, 31, 25], [47, 24, 48, 25], [51, 27, 52, 26], [28, 50, 29, 49], [40, 34, 41, 33], [46, 32, 47, 31], [58, 36, 1, 35], [37, 57, 38, 56], [52, 45, 53, 46]]","[[3, 1], [4, -3], [5, 8], [6, -12], [7, 17], [8, -19], [9, 19], [10, -17], [11, 12], [12, -7], [13, 3], [14, -1]]",11,"[[-3, 5], [-2, -15], [-1, 25], [0, -29], [1, 25], [2, -15], [3, 5]]",6,6,119,"[1, -3, 8, -12, 17, -19, 19, -17, 12, -7, 3, -1]",3,14
