permutation,PD_code,Jones_polynomial,Jones_polynomial_span,Alexander_polynomial,Alexander_polynomial_span,Signature,Determinant,coefficients,min_degree,max_degree
"[-0.316161, -0.242232, -0.348267, 0.559, 2.03948, 0.126768, -1.96707, -0.5177, -0.295184, 0.192319, 0.259199, 0.901785, -0.52788, -0.617412, -1.76258, -0.0816803, 0.141879, -0.446885, 1.85184, 0.75412, 0.39923]","[[14, 2, 15, 1], [2, 24, 3, 23], [4, 34, 5, 33], [3, 37, 4, 36], [17, 6, 18, 7], [19, 9, 20, 8], [34, 6, 35, 5], [44, 8, 45, 7], [26, 11, 27, 12], [28, 10, 29, 9], [39, 11, 40, 10], [13, 24, 14, 25], [12, 42, 13, 41], [22, 15, 23, 16], [31, 16, 32, 17], [18, 43, 19, 44], [29, 21, 30, 20], [46, 21, 1, 22], [25, 40, 26, 41], [27, 39, 28, 38], [35, 32, 36, 33], [45, 30, 46, 31], [37, 42, 38, 43]]","[[-5, -1], [-4, 3], [-3, -6], [-2, 11], [-1, -15], [0, 17], [1, -18], [2, 17], [3, -12], [4, 9], [5, -5], [6, 2], [7, -1]]",12,"[[-2, 8], [-1, -29], [0, 43], [1, -29], [2, 8]]",4,0,117,"[-1, 3, -6, 11, -15, 17, -18, 17, -12, 9, -5, 2, -1]",-5,7
"[0.474908, 0.668279, -0.22174, 1.66904, -1.2179, -0.194284, -1.34604, -0.642656, 0.0110191, 0.853322, -1.27725, -0.709178, 0.60752, 0.274038, 1.04415, 0.393611, 0.64484, 1.71183, -1.83994, 0.563107, -1.26899, 0.215777, -0.0632302, -0.145708, 0.743427, 0.746777, 0.781581, 1.29415, -1.1744]","[[45, 4, 46, 5], [55, 2, 56, 3], [82, 1, 83, 2], [90, 4, 91, 3], [98, 6, 99, 5], [109, 7, 110, 6], [11, 22, 12, 23], [13, 31, 14, 30], [7, 40, 8, 41], [12, 51, 13, 52], [14, 70, 15, 69], [10, 75, 11, 76], [15, 85, 16, 84], [9, 97, 10, 96], [8, 108, 9, 107], [35, 19, 36, 18], [47, 20, 48, 21], [56, 17, 57, 18], [67, 17, 68, 16], [88, 20, 89, 19], [21, 74, 22, 75], [23, 77, 24, 76], [24, 105, 25, 106], [25, 113, 26, 112], [79, 27, 80, 26], [102, 27, 103, 28], [29, 52, 30, 53], [31, 61, 32, 60], [32, 72, 33, 71], [33, 87, 34, 86], [28, 115, 29, 116], [46, 37, 47, 38], [65, 35, 66, 34], [89, 37, 90, 36], [97, 39, 98, 38], [108, 40, 109, 39], [41, 95, 42, 94], [42, 112, 43, 111], [62, 49, 63, 50], [73, 49, 74, 48], [91, 45, 92, 44], [100, 43, 101, 44], [50, 61, 51, 62], [53, 1, 54, 116], [66, 57, 67, 58], [81, 54, 82, 55], [59, 70, 60, 71], [58, 85, 59, 86], [72, 63, 73, 64], [83, 69, 84, 68], [87, 64, 88, 65], [77, 104, 78, 105], [78, 114, 79, 113], [101, 80, 102, 81], [99, 93, 100, 92], [110, 94, 111, 93], [95, 107, 96, 106], [103, 114, 104, 115]]","[[-9, -1], [-8, 4], [-7, -9], [-6, 10], [-5, -1], [-4, -17], [-3, 35], [-2, -36], [-1, 14], [0, 33], [1, -94], [2, 153], [3, -194], [4, 204], [5, -181], [6, 134], [7, -82], [8, 41], [9, -16], [10, 5], [11, -1]]",20,"[[-7, -2], [-6, 6], [-5, -1], [-4, -8], [-3, -25], [-2, 124], [-1, -237], [0, 287], [1, -237], [2, 124], [3, -25], [4, -8], [5, -1], [6, 6], [7, -2]]",14,4,1061,"[-1, 4, -9, 10, -1, -17, 35, -36, 14, 33, -94, 153, -194, 204, -181, 134, -82, 41, -16, 5, -1]",-9,11
"[-0.0929726, 1.65424, -0.183586, 0.319975, -1.04288, 0.280839, -0.61436, -2.20068, 1.59706, -0.491419, 1.55362, -1.56434, -0.951069, -0.547356, 0.324516, 0.332834, -0.543634, 0.103594, 0.309765, -1.52222, 0.417871, 0.978401, -1.0314, 0.550961, -1.29218, -0.629138, 0.070003, -0.0781962, -1.27198, -0.980088, 0.945081, 0.944331, -1.02208]","[[82, 2, 83, 1], [3, 16, 4, 17], [8, 26, 9, 25], [6, 29, 7, 30], [4, 52, 5, 51], [9, 75, 10, 74], [2, 84, 3, 83], [5, 94, 6, 95], [7, 108, 8, 109], [36, 11, 37, 12], [40, 14, 41, 13], [55, 13, 56, 12], [81, 15, 82, 14], [103, 10, 104, 11], [15, 85, 16, 84], [32, 18, 33, 17], [46, 21, 47, 22], [59, 18, 60, 19], [68, 19, 69, 20], [99, 21, 100, 20], [22, 63, 23, 64], [23, 110, 24, 111], [24, 73, 25, 74], [26, 89, 27, 90], [106, 27, 107, 28], [30, 49, 31, 50], [28, 88, 29, 87], [31, 97, 32, 96], [42, 35, 43, 36], [57, 34, 58, 35], [78, 38, 79, 37], [116, 34, 1, 33], [38, 53, 39, 54], [56, 41, 57, 42], [65, 44, 66, 45], [80, 39, 81, 40], [102, 44, 103, 43], [112, 45, 113, 46], [48, 61, 49, 62], [47, 70, 48, 71], [52, 85, 53, 86], [50, 96, 51, 95], [79, 54, 80, 55], [115, 58, 116, 59], [62, 72, 63, 71], [60, 97, 61, 98], [111, 65, 112, 64], [101, 66, 102, 67], [114, 67, 115, 68], [69, 98, 70, 99], [75, 90, 76, 91], [72, 109, 73, 110], [92, 77, 93, 78], [105, 76, 106, 77], [86, 93, 87, 94], [88, 107, 89, 108], [104, 91, 105, 92], [113, 101, 114, 100]]","[[-24, -1], [-23, 9], [-22, -36], [-21, 91], [-20, -162], [-19, 205], [-18, -168], [-17, 30], [-16, 175], [-15, -377], [-14, 512], [-13, -540], [-12, 458], [-11, -297], [-10, 110], [-9, 32], [-8, -91], [-7, 76], [-6, -29], [-5, -2], [-4, 10], [-3, -5], [-2, 1]]",22,"[[-9, -1], [-8, 3], [-7, 2], [-6, -22], [-5, 38], [-4, -5], [-3, -93], [-2, 224], [-1, -335], [0, 379], [1, -335], [2, 224], [3, -93], [4, -5], [5, 38], [6, -22], [7, 2], [8, 3], [9, -1]]",18,-8,1557,"[-1, 9, -36, 91, -162, 205, -168, 30, 175, -377, 512, -540, 458, -297, 110, 32, -91, 76, -29, -2, 10, -5, 1]",-24,-2
"[-0.353617, 1.09706, 1.05331, 1.41713, 1.38199, -1.41817, -0.545697, 0.874162, 0.216543, -0.308083, -0.193529, -0.419014, -2.10074, -0.591168, -0.41708, -2.00109, 0.133184, -0.298146, -0.209924, -0.186331, -2.23127, -0.910301, -0.0966014, 0.243324, 1.49054]","[[20, 4, 21, 3], [32, 1, 33, 2], [43, 3, 44, 2], [7, 17, 8, 16], [6, 24, 7, 23], [8, 27, 9, 28], [4, 35, 5, 36], [5, 41, 6, 40], [9, 48, 10, 49], [26, 11, 27, 12], [47, 10, 48, 11], [12, 25, 13, 26], [46, 14, 47, 13], [49, 14, 50, 15], [17, 24, 18, 25], [15, 29, 16, 28], [19, 35, 20, 34], [18, 41, 19, 42], [36, 22, 37, 21], [22, 40, 23, 39], [29, 38, 30, 39], [37, 30, 38, 31], [44, 31, 45, 32], [33, 42, 34, 43], [50, 46, 1, 45]]","[[-5, 1], [-4, -3], [-3, 8], [-2, -13], [-1, 16], [0, -18], [1, 18], [2, -15], [3, 11], [4, -6], [5, 2]]",10,"[[-3, 2], [-2, -12], [-1, 26], [0, -31], [1, 26], [2, -12], [3, 2]]",6,-2,111,"[1, -3, 8, -13, 16, -18, 18, -15, 11, -6, 2]",-5,5
"[-0.667741, -0.211747, 0.245658, 0.763501, -1.64836, -1.35489, -0.85029, -0.137195, -0.369172, 0.449913, 1.10395, 1.77652, -0.7579, 0.2955, 0.971513, 1.58556, -0.103137, 1.46783, 0.412893, 1.39534, 0.183039]","[[6, 4, 7, 3], [16, 2, 17, 1], [43, 2, 44, 3], [45, 5, 46, 4], [5, 45, 6, 44], [17, 8, 18, 9], [28, 10, 29, 9], [35, 11, 36, 10], [42, 8, 43, 7], [12, 21, 13, 22], [11, 50, 12, 51], [24, 15, 25, 16], [31, 14, 32, 15], [38, 13, 39, 14], [27, 19, 28, 18], [20, 33, 21, 34], [19, 48, 20, 49], [30, 23, 31, 24], [37, 22, 38, 23], [40, 26, 41, 25], [47, 26, 48, 27], [52, 30, 1, 29], [32, 39, 33, 40], [34, 50, 35, 49], [51, 37, 52, 36], [46, 41, 47, 42]]","[[-9, 1], [-8, -6], [-7, 16], [-6, -29], [-5, 42], [-4, -51], [-3, 54], [-2, -49], [-1, 39], [0, -25], [1, 12], [2, -4], [4, 1]]",13,"[[-4, -3], [-3, 16], [-2, -41], [-1, 66], [0, -75], [1, 66], [2, -41], [3, 16], [4, -3]]",8,-2,327,"[1, -6, 16, -29, 42, -51, 54, -49, 39, -25, 12, -4, 1]",-9,4
"[-0.107857, 0.863496, -2.68403, -0.0640688, 0.237833, 0.683406, -2.26473, 0.454572, -0.249094, 0.0310681, 1.33965, 1.85923, -0.461452, 0.743027, 0.367431, -0.937798, 1.09135, 0.860066, 0.950406, -0.174571, -0.166737]","[[14, 2, 15, 1], [21, 5, 22, 4], [28, 4, 29, 3], [37, 2, 38, 3], [48, 5, 49, 6], [6, 24, 7, 23], [17, 8, 18, 9], [34, 8, 35, 7], [10, 25, 11, 26], [12, 28, 13, 27], [9, 33, 10, 32], [13, 38, 14, 39], [11, 50, 12, 51], [30, 16, 31, 15], [45, 16, 46, 17], [19, 24, 20, 25], [18, 34, 19, 33], [20, 49, 21, 50], [47, 22, 48, 23], [26, 51, 27, 52], [36, 30, 37, 29], [44, 31, 45, 32], [46, 36, 47, 35], [42, 39, 43, 40], [53, 40, 54, 41], [41, 52, 42, 53], [54, 43, 1, 44]]","[[-10, -1], [-9, 1], [-8, 1], [-7, -6], [-6, 14], [-5, -23], [-4, 31], [-3, -36], [-2, 37], [-1, -32], [0, 25], [1, -15], [2, 8], [3, -3]]",13,"[[-4, 5], [-3, -17], [-2, 30], [-1, -40], [0, 45], [1, -40], [2, 30], [3, -17], [4, 5]]",8,-4,229,"[-1, 1, 1, -6, 14, -23, 31, -36, 37, -32, 25, -15, 8, -3]",-10,3
"[0.242599, 0.446615, -0.83211, 0.0506829, 0.822602, -0.559578, -0.268622, 1.47875, 0.294045, 0.888417, -2.09193, 0.276962, 0.673852, 0.790411, -1.01307, 1.04255, 1.36555, -0.512256, 0.609267, 0.604837, 0.825566, -1.48979, 1.56877, -0.87486, -0.842227]","[[11, 3, 12, 2], [18, 5, 19, 6], [30, 1, 31, 2], [34, 3, 35, 4], [43, 4, 44, 5], [49, 7, 50, 6], [8, 23, 9, 24], [7, 38, 8, 39], [10, 56, 11, 55], [9, 60, 10, 61], [29, 13, 30, 12], [31, 14, 32, 15], [72, 14, 1, 13], [27, 16, 28, 17], [36, 20, 37, 19], [42, 17, 43, 18], [57, 21, 58, 20], [70, 15, 71, 16], [21, 46, 22, 47], [22, 60, 23, 59], [24, 68, 25, 67], [25, 53, 26, 52], [33, 29, 34, 28], [63, 27, 64, 26], [71, 32, 72, 33], [44, 35, 45, 36], [48, 38, 49, 37], [39, 67, 40, 66], [50, 41, 51, 42], [65, 41, 66, 40], [45, 56, 46, 57], [47, 59, 48, 58], [64, 51, 65, 52], [54, 61, 55, 62], [53, 68, 54, 69], [69, 62, 70, 63]]","[[-10, 1], [-9, -2], [-7, 6], [-6, -16], [-5, 26], [-4, -31], [-3, 32], [-2, -27], [-1, 17], [0, -6], [1, -3], [2, 8], [3, -7], [4, 4], [5, -1]]",15,"[[-3, 1], [-2, -11], [-1, 33], [0, -45], [1, 33], [2, -11], [3, 1]]",6,-2,135,"[1, -2, 6, -16, 26, -31, 32, -27, 17, -6, -3, 8, -7, 4, -1]",-10,5
"[1.12605, 0.324188, 0.241638, 2.23034, -0.374625, 0.130946, 1.18827, -1.8921, -0.29984, -0.132576, 0.0687597, -0.885424, 0.412299, 0.758316, 2.52055, 0.142238, -1.42091, 0.728033, 0.0636337, 0.483422, 0.902492, -1.21155, -1.17485, 0.429547, -1.35805]","[[8, 4, 9, 3], [28, 1, 29, 2], [59, 2, 60, 3], [73, 5, 74, 4], [40, 5, 41, 6], [6, 41, 7, 42], [7, 73, 8, 72], [26, 10, 27, 9], [37, 10, 38, 11], [13, 34, 14, 35], [12, 45, 13, 46], [11, 56, 12, 57], [47, 14, 48, 15], [64, 16, 65, 15], [66, 17, 67, 18], [81, 17, 82, 16], [22, 34, 23, 33], [23, 45, 24, 44], [21, 48, 22, 49], [24, 56, 25, 55], [20, 64, 21, 63], [18, 67, 19, 68], [19, 81, 20, 80], [38, 26, 39, 25], [58, 28, 59, 27], [30, 51, 31, 52], [29, 61, 30, 60], [31, 70, 32, 71], [32, 78, 33, 77], [46, 35, 47, 36], [57, 36, 58, 37], [74, 40, 75, 39], [42, 53, 43, 54], [43, 77, 44, 76], [50, 70, 51, 69], [49, 78, 50, 79], [52, 71, 53, 72], [54, 76, 55, 75], [61, 68, 62, 69], [62, 80, 63, 79], [82, 66, 1, 65]]","[[-6, 2], [-5, -9], [-4, 20], [-3, -33], [-2, 43], [-1, -44], [0, 36], [1, -19], [3, 18], [4, -28], [5, 29], [6, -23], [7, 13], [8, -5], [9, 1]]",15,"[[-6, -3], [-5, 15], [-4, -32], [-3, 32], [-2, 7], [-1, -69], [0, 101], [1, -69], [2, 7], [3, 32], [4, -32], [5, 15], [6, -3]]",12,0,89,"[2, -9, 20, -33, 43, -44, 36, -19, 18, -28, 29, -23, 13, -5, 1]",-6,9
"[0.531784, 0.382527, -1.30427, -0.623924, -0.45333, -1.11103, 1.69962, 0.713209, -1.6175, 0.738113, 0.193489, 2.03952, -0.122934, 0.009441, -0.074021, -0.73824, -0.965211, -0.061995, 2.09929, 0.585324, 0.491179, -1.85262, -1.67583, 0.933232, 0.0884269, 2.34813, -0.972405, 1.18888, 0.0971136, -0.194638, 0.18237]","[[3, 13, 4, 12], [2, 20, 3, 19], [1, 39, 2, 38], [22, 6, 23, 5], [27, 9, 28, 8], [41, 5, 42, 4], [49, 7, 50, 6], [60, 7, 61, 8], [13, 20, 14, 21], [9, 27, 10, 26], [10, 36, 11, 35], [14, 39, 15, 40], [11, 45, 12, 44], [48, 16, 49, 15], [61, 16, 62, 17], [17, 37, 18, 36], [18, 46, 19, 45], [28, 26, 29, 25], [40, 22, 41, 21], [50, 24, 51, 23], [59, 24, 60, 25], [29, 35, 30, 34], [30, 53, 31, 54], [31, 56, 32, 57], [57, 32, 58, 33], [33, 55, 34, 54], [37, 47, 38, 46], [51, 43, 52, 42], [43, 53, 44, 52], [62, 48, 1, 47], [58, 56, 59, 55]]","[[3, 1], [4, -2], [5, 4], [6, -4], [7, 3], [8, 1], [9, -4], [10, 8], [11, -11], [12, 11], [13, -10], [14, 6], [15, -3], [16, 1]]",13,"[[-6, -2], [-5, 7], [-4, -7], [-3, 1], [-2, 7], [-1, -18], [0, 25], [1, -18], [2, 7], [3, 1], [4, -7], [5, 7], [6, -2]]",12,8,41,"[1, -2, 4, -4, 3, 1, -4, 8, -11, 11, -10, 6, -3, 1]",3,16
"[1.96067, 0.299549, 0.873943, 0.268259, 0.137403, 0.323, -2.05137, 0.092795, 2.71056, 1.15287, -0.401583, 0.0846255, 0.0174195, -0.880025, -0.681643, -0.027268, -0.294046, -0.647158, 1.0931, -1.368, 0.280679, 0.713093, -1.24168, 1.68159, -0.341236]","[[12, 1, 13, 2], [23, 3, 24, 2], [32, 4, 33, 3], [4, 15, 5, 16], [5, 21, 6, 20], [6, 30, 7, 29], [27, 9, 28, 8], [36, 8, 37, 7], [25, 10, 26, 11], [34, 9, 35, 10], [50, 11, 1, 12], [13, 22, 14, 23], [14, 31, 15, 32], [42, 18, 43, 17], [47, 17, 48, 16], [21, 31, 22, 30], [18, 40, 19, 39], [19, 45, 20, 44], [35, 27, 36, 26], [49, 25, 50, 24], [28, 38, 29, 37], [48, 34, 49, 33], [38, 43, 39, 44], [40, 46, 41, 45], [46, 42, 47, 41]]","[[0, -1], [1, 2], [2, -3], [3, 5], [4, -4], [5, 5], [6, -3], [7, 2], [8, -2]]",8,"[[-5, 1], [-4, -3], [-3, 5], [-2, -4], [-1, 1], [0, 1], [1, 1], [2, -4], [3, 5], [4, -3], [5, 1]]",10,6,27,"[-1, 2, -3, 5, -4, 5, -3, 2, -2]",0,8
